Brand,PUG Aisle(s),Status
Bocado Flavor Co,Saucy+Spicy,screened-reject (non-GMO/vegan/gluten-free are ingredient claims only; no organic or other certification found)
Bokksu,Sweets+Treats,screened-reject (subscription snack box with many different products; no brand-wide certification found -- individual included items like tea may be organic but that doesn't cover the box as a whole)
BOMBOM,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Bonbuz,Non-Alc,screened-reject (non-GMO/vegan are ingredient claims; no organic certification confirmed)
Boss Cow,"Pantry, Sweets+Treats","screened-reject (""Beyond Organic"" is the brand's own marketing term, not a named third-party certification)"
Bottle Rocket,Saucy+Spicy,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Bowlcut,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
BRANCHE,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Brass Roots,Puffs+Crunch,screened-hold (organic Sacha Inchi seeds referenced across Amazon/brand listings but specific certifying body -- e.g. USDA -- not explicitly confirmed -- needs direct verify)
Brave,Saucy+Spicy,screened-reject (brand not clearly identifiable as a distinct sweets/treats entity -- no certification found under this exact name)
Breakin Snacks,Bites+Chews,"screened-hold (non-GMO oats plus organic honey/oat bran as ingredients, but no brand-wide certification confirmed -- needs direct verify)"
Brightland,Pantry,"screened-reject (brand's own FAQ states farm partners are NOT certified organic due to cost/process -- organic practices only, self-described, no B Corp confirmed)"
BRISCA,Pantry,screened-reject (no organic or other certification found)
Broma,Saucy+Spicy,"shortlisted (Certified Organic + Non-GMO across the product line, per multiple Amazon/retailer listings)"
Brooklyn Delhi,Pantry,screened-reject (brand's own FAQ: products are NOT certified organic; gluten-free/non-GMO are ingredient claims only)
Bumbleberry Farms,Pantry,screened-hold (brand identity ambiguous -- multiple unrelated companies share this name; no certification confirmed for the specific fruit-snack product -- needs direct verify)
BUNKY,Puffs+Crunch,screened-reject (not certified organic per search; non-GMO stated but certifying body not confirmed)
But Better,Bites+Chews,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Byte Bars,Bites+Chews,screened-hold (brand identity ambiguous -- multiple similarly-named snack-bar brands/products found; no certification confirmed specific to this one -- needs direct verify)
Byte'm,Sweets+Treats,"screened-reject (""real natural ingredients"" is a marketing claim only; no certification found)"
Cabi,Pantry,screened-reject (no organic or other certification found)
Caboodle Snacks,Bites+Chews,"screened-reject (brand's own site: NOT certified organic -- organic ingredients only, no certifying body named)"
Cactus Crunch,Puffs+Crunch,screened-reject (kosher-certified + non-GMO stated but no specific certifying body confirmed; no organic certification found)
CAFF,Bites+Chews,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Caff Off,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Candid,Sweets+Treats,screened-reject (brand not clearly identifiable as a distinct entity -- no certification found under this exact name)
CanDo,Bites+Chews,screened-reject (no organic or other certification found)
Cann,Non-Alc,"screened-reject (no GFA category -- THC/cannabis social tonic, not food/beverage)"
Capsco,Non-Alc,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Carbone Fine Food,Saucy+Spicy,"shortlisted (Non-GMO Project Certified per brand's own FAQ, with noted exceptions for Four Cheese Marinara and Alfredo sauce items)"
Carolyn's Krisps,Puffs+Crunch,"screened-reject (organic/non-GMO ingredients marked at ingredient level only, not a whole-product certification)"
Casa Picosa,Saucy+Spicy,screened-reject (no certification found)
Catalina Crunch,"Breakfast-ish, Puffs+Crunch, Sweets+Treats",shortlisted (Non-GMO Project Verified per brand's own FAQ; not organic certified)
CauliPuffs,Puffs+Crunch,"screened-hold (mixed signals -- ""Vegan Caulitos"" line is Organic Certified + Non-GMO Project Verified, but core CauliPuffs line not confirmed -- needs direct verify which SKUs carry which certification)"
Chamberlain Coffee,Pantry,shortlisted (USDA Organic + Fair Trade certified per multiple retailer listings)
Cheerie Lane Popcorn,Puffs+Crunch,"screened-reject (""organic farming methods"" is self-described, not certified; non-GMO heirloom kernels stated but no Non-GMO Project Verified confirmed)"
Chef Poppin,Puffs+Crunch,screened-reject (non-GMO stated but no certifying body confirmed; no organic certification found)
Chew Foods,Sweets+Treats,screened-reject (brand not clearly identifiable as a distinct entity -- no certification found under this exact name)
Chewsy,Bites+Chews,"shortlisted (Certified Organic by an internationally recognised certifying body, per brand's own site)"
Chili Nut Crunch,Pantry,"screened-hold (brand describes ingredients as ""Mostly Organic"" but no whole-product certifying body confirmed -- needs direct verify)"
Chirps Chips,Puffs+Crunch,screened-reject (non-GMO corn stated as ingredient but no certifying body confirmed; no organic certification found)
Cho's Bakeshop,Sweets+Treats,screened-reject (no organic or non-GMO certification found)
Chocxo,Sweets+Treats,"shortlisted (USDA Organic + Non-GMO Project Verified + Certified Gluten-Free + Kosher, per multiple product listings)"
ChocZero,Sweets+Treats,screened-hold (Fair-Trade cocoa beans + non-GMO stated but not confirmed as Non-GMO Project Verified; no organic certification confirmed -- needs direct verify)
CHOMPS,Bites+Chews,"shortlisted (Non-GMO Project Verified across all products + Certified Gluten-Free + Paleo Certified, per brand's own help center)"
Chosen Foods,Pantry,"shortlisted (USDA Organic + Non-GMO Project Verified, per multiple retailer listings, for the Organic Avocado Oil line)"
Christie's,Puffs+Crunch,"screened-reject (vegan/non-GMO/kosher/gluten-free are stated attributes, certifying bodies not confirmed; no organic certification found)"
CHUM,Bites+Chews,"screened-hold (""certified Non-GMO"" stated but specific certifying body -- e.g. Non-GMO Project -- not confirmed -- needs direct verify)"
CHUZA,Bites+Chews,"screened-reject (no organic or non-GMO certification found; ""minority-certified"" is an ownership-diversity cert, excluded per methodology)"
Ciao Pappy,Saucy+Spicy,"screened-hold (Bristol Farms retailer listing references ""Organic Marinara Sauce"" but certifying body not confirmed on brand's own site -- needs direct verify)"
Clebby's,"Non-Alc, Sweets+Treats","screened-reject (no GFA category -- hemp-derived cannabis/THC baking products, not standard food)"
Climate Candy,Sweets+Treats,screened-reject (non-GMO/gluten-free are ingredient claims only; no certifying body confirmed)
CNDY,Sweets+Treats,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Cob,Puffs+Crunch,"screened-hold (Clean Label Project Purity Award is a testing/purity certification, not organic/fair-trade/B-Corp; sorghum described as ""transitional organic,"" not yet certified -- needs a category-fit call)"
Cocobox,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Cocomo,Pantry,"shortlisted (Oregon Tilth Certified Organic (OTCO), a named third-party certifying body)"
Codex,Sweets+Treats,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Confusion Snacks,Puffs+Crunch,screened-reject (non-GMO avocado oil is an ingredient claim only; no certifying body confirmed)
Coracao Chocolate,Sweets+Treats,"shortlisted (Fair Trade Certified + USDA Organic Certified + Certified Climate Neutral, per brand's own site)"
CORE Foods,Puffs+Crunch,shortlisted (Non-GMO Project Verified + Certified USDA Organic + Certified Gluten-Free + Certified Vegan + Certified Kosher)
Couplet Coffee,Breakfast-ish,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Craize,Puffs+Crunch,"shortlisted (Non-GMO Project Verified + Certified Organic, per EWG Food Scores and brand FAQ)"
Cravings by Chrissy Teigen,Sweets+Treats,"shortlisted (Non-GMO Project Verified + Kosher certified across multiple products, per brand's own descriptions)"
Creature Matcha,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Croots,Puffs+Crunch,screened-reject (non-GMO stated but no certifying body confirmed; no organic certification found)
Curious Elixirs,Non-Alc,"screened-hold (organic ingredients claimed by brand and by a third-party retailer, but no specific certifying body/badge confirmed directly from the brand's own materials -- needs direct verify)"
CurryCups,Pantry,"screened-reject (brand not clearly identifiable -- search only returned generic curry powder brands, not this specific one)"
Cybele's,Pantry,shortlisted (Non-GMO Project Verified + Certified Gluten-Free + Certified Vegan)
D'vash Organics,Saucy+Spicy,"shortlisted (USDA Organic + Non-GMO Project Verified, per brand's own site and multiple retailers)"
Daily Crunch Snacks,Puffs+Crunch,screened-reject (non-GMO stated but certifying body not confirmed; no organic certification found)
Dandies,Sweets+Treats,"shortlisted (Non-GMO Project Verified, per multiple retailer listings)"
Date Better,Sweets+Treats,screened-reject (organic ingredients used in products but no brand-wide certification confirmed)
Date Smarter!,Sweets+Treats,screened-reject (organic ingredients used but no brand-wide certification confirmed)
David Protein,Bites+Chews,screened-reject (no organic or Non-GMO Project certification found; distinct from the similarly-named Dave's Killer Bread which IS certified)
Dawnbreaker,Breakfast-ish,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Day Out Snacks,Bites+Chews,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Daybreak Seaweed Co.,Pantry,"screened-hold (seaweed salt line uses ""Organic West Coast Wakame"" but certifying body not confirmed; other seasonings are non-GMO/gluten-free claims only -- needs direct verify)"
De Soi,Non-Alc,screened-reject (no organic certification found)
DEFI Snacks,Sweets+Treats,screened-reject (non-GMO/kosher claimed but certifying bodies not confirmed; no organic certification found)
Deliciously Ella,Bites+Chews,screened-hold (Planet Organic retailer listing implies organic certification but not confirmed directly on brand's own site -- needs direct verify)
Desert Dust,Pantry,"screened-hold (""at least 95% organic material"" language matches USDA Organic's certification threshold, but no specific certifying body/seal confirmed -- needs direct verify)"
Diaspora Co.,Pantry,"screened-reject (brand's own FAQ: NOT USDA certified -- ""beyond organic"" is self-described; 6x-commodity-price payment is a real quantified signal but no named certifying body, so doesn't meet the certification bar)"
DINO BARS,Bites+Chews,"shortlisted (USDA Certified Organic + non-GMO, per brand's own product descriptions)"
Dirtbag Bar,Sweets+Treats,"shortlisted (Certified Organic + Non-GMO whole food energy bar, per brand's own site; also 1% for the Planet + 1% for Mental Health)"
DIRTY GUT,Sweets+Treats,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
DOCTOR STOLBERG,Pantry,"screened-hold (""majority of ingredients certified organic"" is vague -- no specific certifying body or product-level certification confirmed -- needs direct verify)"
donutful,Sweets+Treats,screened-reject (organic cane sugar is an ingredient-level claim; non-GMO stated but not confirmed as Non-GMO Project Verified; no whole-product organic certification)
doosra,Puffs+Crunch,screened-reject (organic dark chocolate is an ingredient-level claim only; no brand-wide certification found)
Dr. Smood,Bites+Chews,"shortlisted (100% USDA Certified Organic + Kosher across the product line, per brand's own site and multiple listings)"
Dream Pops,Sweets+Treats,screened-reject (no certification information found)
Drizzi,Pantry,"shortlisted (GFCO Certified Gluten-Free + Non-GMO Project Verified -- brand name is ""Drizzilicious"")"
Droosh,Pantry,screened-reject (brand's own description: products are NOT certified organic; non-GMO stated but no certifying body confirmed)
Dumpling Daughter,Saucy+Spicy,"shortlisted (Certified Organic + Certified GMO Free, per EWG Food Scores)"
dun,Non-Alc,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Earth & Star,Bites+Chews,"shortlisted (100% Certified Organic ingredients across the product line, per brand's own site)"
Eat Senza,Pantry,screened-reject (no organic or non-GMO certification confirmed)
edggies veggies,Pantry,shortlisted (USDA Organic certified by CCOF -- California Certified Organic Farmers -- a named certifying body)
Effie's Homemade,Puffs+Crunch,"screened-hold (""some products are certified organic and certified GMO free"" but not specified which SKUs -- needs direct verify)"
ELAVI,Breakfast-ish,screened-reject (brand's own FAQ: NOT certified organic; non-GMO stated but certifying body not confirmed)
Eleni's New York,Sweets+Treats,screened-hold (OU Kosher Certified confirmed; no organic/non-GMO certification found -- needs a category-fit call on kosher-only qualification)
Eleven Madison Home,Pantry,"screened-reject (organic ingredients referenced at ingredient level -- e.g. ""Organic Oats"" -- but no brand-wide certification confirmed)"
Ella's Flats,Puffs+Crunch,"shortlisted (Certified Gluten Free + Non-GMO Project Verified, per brand's own site)"
Eltee's Goods,Pantry,"screened-reject (""local"" and ""regenerative"" are self-described; no certifying body confirmed)"
Endure Sport Nutrition,Bites+Chews,"screened-reject (brand not clearly identifiable -- search returned only generic retail categories, not a matching specific brand)"
Enso Chips,Puffs+Crunch,screened-reject (brand's own site: NOT certified organic; non-GMO stated but no certifying body confirmed)
Equip Foods,Bites+Chews,shortlisted (Clean Coffee line is certified organic + Fair Trade certified + Regenerative Organic Certified)
Eureka Tortilla,Pantry,"shortlisted (Organic + Non-GMO across the product line, ""at least 95% organic material"" per brand's own listings)"
Every Body Eat,Puffs+Crunch,"shortlisted (Gluten Free Certified + Non-GMO Project Verified + Kosher + Seed Oil Free Certified, per brand's own certifications page -- not organic)"
EVERYDAZE,Sweets+Treats,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Evie's Snacks,Puffs+Crunch,"shortlisted (USDA Certified Organic pecan line + Non-GMO, per brand's own site)"
Evo Hemp,Bites+Chews,"shortlisted (MOCU Organic Hemp Protein + Organic Hemp Hearts certified organic, vegan, non-GMO, gluten-free)"
EVOLVED,Sweets+Treats,shortlisted (USDA Organic Certified + Rainforest Alliance certified cacao)
Fabalish,Pantry,"shortlisted (Organic baked falafel line, per brand's own site and multiple product listings -- ""first organic baked falafel on the market"")"
Fadwa Masala,Pantry,"screened-reject (""all-natural"" is a marketing claim only; no certification found)"
Fake Drinks Club,Non-Alc,screened-reject (no certification found)
Fancypants Baking Co.,Sweets+Treats,shortlisted (Non-GMO Project Verified + Upcycled Certified + Kosher-Dairy Certified)
Farmer Foodie,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
FaroMia Foods,Saucy+Spicy,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
FATSO,Saucy+Spicy,"screened-hold (""certified non-GMO"" claimed but specific certifying body -- e.g. Non-GMO Project -- not confirmed; brand's own FAQ says not fully organic -- needs direct verify)"
FAUXMOSA,Non-Alc,"screened-reject (GMO-free/gluten-free/vegan are stated attributes, no certifying body confirmed; no organic certification found)"
Favour,Bites+Chews,"screened-reject (brand not clearly identifiable -- search surfaced unrelated brands, not this specific one)"
Fearless Keto,Sweets+Treats,screened-reject (no organic or non-GMO certification confirmed)
Felicia,Pantry,"shortlisted (already researched and imported -- Andriani S.p.A., B Corp Certified -- see global_brand_shortlist.xlsx / scripts/import-shortlist-batch1.mjs)"
Fever-Tree,Non-Alc,"screened-hold (""Non-GMO certified"" stated across products but specific certifying body not named; no organic certification found -- needs direct verify)"
FFups,Puffs+Crunch,screened-reject (no organic or non-GMO certification found; made from processed corn/oil)
Fichi,Bites+Chews,"screened-reject (""all-natural"" is a marketing claim only; no certification confirmed)"
Fields Good,Sweets+Treats,screened-reject (vegetarian-fed/no-antibiotics are self-described; no certified organic status found)
Figa Foods,Sweets+Treats,"screened-reject (brand's own FAQ: NOT certified organic -- ""regenerative practices"" are self-described)"
Figlia,Non-Alc,screened-reject (no certification confirmed)
Figure Ate,Bites+Chews,"screened-reject (""regenerative agriculture"" affiliation with a nonprofit is self-described; no named certifying body found)"
Fiome,Bites+Chews,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Fishwife,Pantry,"shortlisted (MSC-Certified / ASC-Certified across the product line, per brand's own site and retailer listings)"
FitJoy,Puffs+Crunch,shortlisted (Non-GMO Project Verified + Gluten-Free Certified + Vegan Certified)
Fix & Fogg,Pantry,shortlisted (B Corp Certified)
Flings,Breakfast-ish,screened-reject (no organic or non-GMO certification confirmed)
Flock,Puffs+Crunch,"shortlisted (Upcycled Certified, a named third-party certification from the Upcycled Food Association)"
Flor De Chile,Pantry,screened-reject (no certification confirmed)
Floura,Bites+Chews,screened-reject (no certification confirmed)
Flowerhead Tea,Pantry,"screened-hold (organic ingredients + non-GMO stated for the brand generally, but specific certifying body not confirmed; one blend labeled ""100% Organic"" -- needs direct verify)"
Fly By Jing,Pantry,shortlisted (B Corp Certified; Non-GMO confirmed via retailer listings)
Folds,Puffs+Crunch,screened-reject (no certification confirmed)
Food Should Taste Good,Puffs+Crunch,"shortlisted (Certified Organic + Kosher + Non-GMO, per multiple sources)"
For Bitter For Worse,Non-Alc,"shortlisted (certified organic, regeneratively farmed botanicals used in production, per brand's own description)"
For Good Granola,Breakfast-ish,screened-reject (organic/non-GMO ingredients used but no brand-wide certification confirmed)
Forchewn,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Frankie's Fabulous Granola,Breakfast-ish,"screened-reject (""mostly organic"" ingredient-level claims; no brand-wide certification confirmed)"
Frankly Good Coffee,Pantry,screened-reject (no certification confirmed)
FREE AF,Non-Alc,screened-reject (organic sugar is an ingredient-level claim; no brand-wide certification found)
French Squirrel,Pantry,"screened-hold (""organic"" used repeatedly across the product line and ingredient list, but no specific certifying body -- e.g. USDA -- named -- needs direct verify)"
FUJI Bar,Bites+Chews,screened-reject (brand not clearly identifiable -- confused in search results with an unrelated Fuji apple chips product)
Funny Farm,Pantry,"screened-reject (brand not clearly identifiable -- confused in search results with Annie's ""Bernie's Farm"")"
Gaia Foods,Bites+Chews,"screened-reject (brand not clearly identifiable -- multiple unrelated ""Gaia""-named companies found, none matching ""Gaia Foods"" specifically)"
Gamsa Foods,Breakfast-ish,screened-reject (no organic or non-GMO certification confirmed)
Garden Based,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Gato,Sweets+Treats,screened-reject (brand not clearly identifiable -- only unrelated pet food brands found)
Gay Awakening Coffee,Pantry,"shortlisted (100% Certified Organic, ODA-approved, per brand's own site)"
Geem,Puffs+Crunch,screened-hold (Non-GMO Verified confirmed; organic ingredients used in some flavors but not confirmed brand-wide -- needs direct verify)
Get Golden,Bites+Chews,screened-reject (brand not clearly identifiable -- only unrelated generic turmeric brands found)
Get Supr,Breakfast-ish,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Ghia,Non-Alc,screened-reject (no organic or non-GMO certification confirmed; vegan/no-added-sugar are ingredient claims)
Ghips,Puffs+Crunch,"screened-reject (no certification confirmed; ""seed oil free"" is an ingredient claim)"
GIGANTIC!,Sweets+Treats,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Girl Meets Dirt,Saucy+Spicy,"shortlisted (organic heirloom fruit + organic fair trade sugar, per brand's own site; 11x Good Food Awards winner)"
Globowl,Pantry,"shortlisted (Certified Organic + Certified GMO Free, per EWG Food Scores)"
Go a Little Nuts,Bites+Chews,screened-reject (brand not identifiable -- no product or certification info found under this exact name)
Gobbi,Pantry,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Gochiso,Puffs+Crunch,screened-reject (no organic or non-GMO certification confirmed)
GOOD GOOD,Sweets+Treats,"shortlisted (Non-GMO Verified across the product line, per brand's own site)"
GOOD GREED,Sweets+Treats,screened-reject (brand not clearly identifiable -- no product or certification found under this exact name)
Good Twin,Non-Alc,"shortlisted (Certified Organic + Vegan sparkling wine, per brand's own site and multiple retailers)"
GoodSam,Sweets+Treats,"shortlisted (Certified B Corporation + USDA Organic, per brand's own site and product listings)"
Gourmend,Pantry,shortlisted (Certified B Corp + USDA Certified Organic + FODMAP Friendly certified)
Gratisfied,Breakfast-ish,screened-reject (brand not identifiable -- no certification info found)
Greens Gone Wild,Bites+Chews,screened-reject (uses organic spinach as an ingredient but no full-product organic or other named certification found)
Groovy Coffee,Pantry,shortlisted (Certified Kosher; explicitly not organic or Fair Trade certified per own site)
Ground Up PDX,Pantry,screened-hold (site states 'non-GMO certified' but does not name Non-GMO Project Verified or another specific certifying body -- needs direct verify)
grounds,Pantry,"screened-reject (brand not identifiable -- search returned only unrelated coffee brands, not this specific brand)"
Growee Foods,Saucy+Spicy,screened-hold (own site says 'certified organic and/or natural products' without naming a specific certifying body or which products -- needs direct verify)
Grumpy Ginger,Pantry,screened-reject (brand not identifiable -- no certification info found)
Gruvi,Non-Alc,"screened-reject (ingredients sourced from GFSI-certified suppliers -- a food-safety standard, not an organic/fair-trade/B-Corp certification -- no qualifying certification found)"
Gwell,Bites+Chews,screened-hold (own site says 'natural and organic ingredients' without naming a specific certifying body -- needs direct verify)
Happy Candy,Sweets+Treats,shortlisted (WBENC Certified Women's Business Enterprise; non-GMO ingredients claimed but certifying body not specified)
